epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,261.123,0.23248,0.52221,0.78815,0.93006,0.94879,0.94063,0.89723,0.26103,0.39803,0.79692,0.0700783,0.00332463,0.00332463
2,460.907,0.23381,0.2686,0.79052,0.92731,0.95522,0.93937,0.89725,0.25511,0.36128,0.80336,0.0400124,0.00659205,0.00659205
3,659.268,0.23219,0.23875,0.79209,0.95687,0.97015,0.97232,0.92953,0.27232,0.28368,0.80984,0.0098805,0.00979347,0.00979347
4,858.625,0.23785,0.23082,0.79401,0.89713,0.94976,0.92373,0.879,0.26424,0.35699,0.81086,0.009703,0.009703,0.009703
5,1056.27,0.2354,0.21517,0.794,0.92476,0.9545,0.96206,0.91032,0.30199,0.31914,0.82095,0.009604,0.009604,0.009604
6,1252.93,0.22835,0.19912,0.79174,0.88826,0.91882,0.924,0.88473,0.26487,0.38966,0.81122,0.009505,0.009505,0.009505
7,1449.52,0.2223,0.19166,0.79,0.85792,0.8795,0.87791,0.83492,0.28664,0.47526,0.81568,0.009406,0.009406,0.009406
8,1647.18,0.22159,0.18583,0.79047,0.90777,0.9352,0.94681,0.89455,0.32288,0.34611,0.82747,0.009307,0.009307,0.009307
9,1845.36,0.21831,0.18025,0.78994,0.94673,0.96407,0.97057,0.926,0.28232,0.29134,0.81835,0.009208,0.009208,0.009208
10,2043.1,0.2108,0.17416,0.78803,0.88717,0.91881,0.91188,0.86919,0.27686,0.40698,0.8211,0.009109,0.009109,0.009109
11,2239.93,0.20838,0.17101,0.78695,0.84536,0.89155,0.8883,0.85052,0.27792,0.50565,0.81349,0.00901,0.00901,0.00901
12,2438.37,0.20492,0.17071,0.78654,0.87715,0.91751,0.91612,0.86639,0.28257,0.42117,0.82021,0.008911,0.008911,0.008911
13,2635.55,0.20153,0.16535,0.78595,0.86608,0.91814,0.88773,0.84914,0.28265,0.47811,0.82392,0.008812,0.008812,0.008812
14,2833.38,0.1995,0.16277,0.78531,0.95926,0.9767,0.9726,0.92824,0.28666,0.25032,0.8212,0.008713,0.008713,0.008713
15,3030.6,0.19711,0.16018,0.78437,0.88377,0.92719,0.92381,0.87772,0.30323,0.41696,0.8267,0.008614,0.008614,0.008614
16,3227.8,0.19296,0.15854,0.78402,0.86478,0.89734,0.89537,0.85829,0.27566,0.48321,0.8187,0.008515,0.008515,0.008515
17,3426.05,0.19251,0.15761,0.78296,0.87063,0.87947,0.90602,0.85725,0.29469,0.4896,0.82802,0.008416,0.008416,0.008416
18,3623.87,0.18723,0.15245,0.782,0.86444,0.8984,0.90692,0.848,0.31932,0.47311,0.8416,0.008317,0.008317,0.008317
19,3821.54,0.18762,0.15117,0.78261,0.89457,0.921,0.93315,0.89742,0.25854,0.37878,0.81205,0.008218,0.008218,0.008218
20,4018.08,0.18561,0.14929,0.78257,0.87189,0.89843,0.92341,0.88312,0.27165,0.48575,0.82724,0.008119,0.008119,0.008119
21,4213.11,0.18141,0.14477,0.78117,0.84133,0.90899,0.87305,0.83299,0.29187,0.5365,0.82561,0.00802,0.00802,0.00802
22,4410.33,0.17988,0.1447,0.78069,0.88538,0.91518,0.93251,0.8953,0.26178,0.39691,0.8186,0.007921,0.007921,0.007921
23,4607.08,0.17737,0.14143,0.78005,0.93715,0.95535,0.97319,0.93064,0.2662,0.27497,0.81859,0.007822,0.007822,0.007822
24,4804.47,0.17425,0.13908,0.78002,0.85401,0.91518,0.90863,0.86755,0.27528,0.45103,0.81719,0.007723,0.007723,0.007723
25,5002.09,0.17089,0.13735,0.77925,0.86068,0.89504,0.89715,0.85787,0.27578,0.5156,0.82111,0.007624,0.007624,0.007624
26,5205.14,0.16927,0.13551,0.77869,0.91959,0.94248,0.95447,0.91787,0.26184,0.31726,0.81352,0.007525,0.007525,0.007525
27,5403.46,0.16732,0.13775,0.77849,0.86341,0.92732,0.89733,0.85786,0.26661,0.4563,0.81652,0.007426,0.007426,0.007426
28,5604.6,0.16603,0.13505,0.77765,0.84354,0.88933,0.88927,0.85555,0.26205,0.5517,0.8153,0.007327,0.007327,0.007327
29,5804.62,0.16477,0.13364,0.77737,0.92595,0.93775,0.95721,0.91376,0.27041,0.321,0.81543,0.007228,0.007228,0.007228
30,6002.71,0.16156,0.13089,0.77717,0.86921,0.91518,0.9074,0.86164,0.29226,0.44199,0.82511,0.007129,0.007129,0.007129
31,6201.73,0.15925,0.12794,0.77643,0.8657,0.9175,0.89797,0.85202,0.30172,0.45,0.83041,0.00703,0.00703,0.00703
32,6398.6,0.15692,0.12655,0.77653,0.85968,0.913,0.89893,0.8575,0.27481,0.48107,0.8202,0.006931,0.006931,0.006931
33,6595.81,0.15504,0.12649,0.77622,0.86916,0.93588,0.9212,0.88372,0.25412,0.39968,0.81429,0.006832,0.006832,0.006832
34,6796.18,0.15366,0.12507,0.77593,0.8786,0.92428,0.91177,0.87381,0.26615,0.41727,0.81873,0.006733,0.006733,0.006733
35,6992.04,0.15368,0.12514,0.77533,0.86179,0.91021,0.88616,0.84756,0.26716,0.47636,0.82087,0.006634,0.006634,0.006634
36,7195.36,0.14836,0.12184,0.77392,0.87356,0.91008,0.90526,0.86821,0.26204,0.44987,0.81889,0.006535,0.006535,0.006535
37,7433.37,0.14702,0.11995,0.77457,0.89529,0.90891,0.92491,0.88544,0.26457,0.40562,0.81859,0.006436,0.006436,0.006436
38,7631.94,0.14491,0.11796,0.7741,0.85774,0.90872,0.89218,0.85425,0.26369,0.4859,0.8164,0.006337,0.006337,0.006337
39,7832.26,0.14429,0.11886,0.77395,0.91197,0.93902,0.95641,0.91776,0.2571,0.32482,0.81697,0.006238,0.006238,0.006238
40,8030.94,0.14314,0.11666,0.77401,0.87942,0.91227,0.91951,0.87598,0.29859,0.45028,0.83484,0.006139,0.006139,0.006139
41,8243.84,0.1389,0.11625,0.77332,0.88912,0.92244,0.92064,0.88242,0.26139,0.41099,0.81878,0.00604,0.00604,0.00604
42,8450.27,0.13699,0.11204,0.77305,0.8546,0.917,0.91573,0.87685,0.27415,0.48873,0.82324,0.005941,0.005941,0.005941
43,8647.02,0.13694,0.11332,0.77297,0.90323,0.93411,0.9426,0.90466,0.24658,0.35759,0.81686,0.005842,0.005842,0.005842
44,8846.54,0.13571,0.11205,0.77338,0.89823,0.91894,0.92118,0.88133,0.28363,0.41277,0.82392,0.005743,0.005743,0.005743
45,9043.88,0.13323,0.11084,0.77254,0.90393,0.94794,0.93431,0.89477,0.25554,0.3368,0.81818,0.005644,0.005644,0.005644
46,9239.6,0.13077,0.10954,0.77181,0.85209,0.89261,0.89503,0.85515,0.26787,0.543,0.82336,0.005545,0.005545,0.005545
47,9438.11,0.13166,0.10948,0.77153,0.8311,0.87058,0.8608,0.82417,0.27214,0.64659,0.82332,0.005446,0.005446,0.005446
48,9634.92,0.12854,0.10797,0.77164,0.84138,0.88788,0.88711,0.84775,0.2726,0.55215,0.82261,0.005347,0.005347,0.005347
49,9832.55,0.12652,0.10725,0.77104,0.85296,0.88267,0.87287,0.83427,0.26556,0.56249,0.82318,0.005248,0.005248,0.005248
50,10029.8,0.12497,0.10381,0.77102,0.83266,0.89479,0.85189,0.81326,0.27833,0.59272,0.82531,0.005149,0.005149,0.005149
